 2 370      REPRO    HLASM
 2 370      RIO      S        9C02     D2(B2)
 2 370      RMODE    HLASM
 2 370      RRB      S        B213     D2(B2)
 2 370      RRBE     RRE      B22A     R1,R2
 2 370      RSECT    HLASM
 2 370      S        RX       5B       R1,D2(X2,B2)
 2 370      SAC      S        B219     D2(B2)
 2 370      SCK      S        B204     D2(B2)
 2 370      SCKC     S        B206     D2(B2)
 2 370      SD       RX       6B       R1,D2(X2,B2)
 2 370      SDR      RR       2B       R1,R2
 2 370      SE       RX       7B       R1,D2(X2,B2)
 2 370      SER      RR       3B       R1,R2
 2 370      SETA     HLASM
 2 370      SETAF    HLASM
 2 370      SETB     HLASM
 2 370      SETC     HLASM
 2 370      SETCF    HLASM
 2 370      SH       RX       4B       R1,D2(X2,B2)
 2 370      SIGP     RS       AE       R1,R3,D2(B2)
 2 370      SIO      S        9C00     D2(B2)
 2 370      SIOF     S        9C01     D2(B2)
 2 370      SL       RX       5F       R1,D2(X2,B2)
 2 370      SLA      RS       8B       R1,D2(B2)
 2 370      SLDA     RS       8F       R1,D2(B2)
 2 370      SLDL     RS       8D       R1,D2(B2)
 2 370      SLL      RS       89       R1,D2(B2)
 2 370      SLR      RR       1F       R1,R2
 2 370      SP       SS       FB       D1(L1,B1),D2(L2,B2)
 2 370      SPACE    HLASM
 2 370      SPKA     S        B20A     D2(B2)
 2 370      SPM      RR       04       R1
 2 370      SPT      S        B208     D2(B2)
 2 370      SPX      S        B210     D2(B2)
 2 370      SR       RR       1B       R1,R2
 2 370      SRA      RS       8A       R1,D2(B2)
 2 370      SRDA     RS       8E       R1,D2(B2)
 2 370      SRDL     RS       8C       R1,D2(B2)
 2 370      SRL      RS       88       R1,D2(B2)
 2 370      SRP      SS       F0       D1(L1,B1),D2(B2),I3
 2 370      SSAR     RRE      B225     R1
 2 370      SSK      RR       08       R1,R2
 2 370      SSKE     RRE      B22B     R1,R2
 2 370      SSM      SI       80       D1(B1)
 2 370      ST       RX       50       R1,D2(X2,B2)
 2 370      STAP     S        B212     D2(B2)
 2 370      START    HLASM
 2 370      STC      RX       42       R1,D2(X2,B2)
 2 370      STCK     S        B205     D2(B2)
 2 370      STCKC    S        B207     D2(B2)
 2 370      STCM     RS       BE       R1,M3,D2(B2)
 2 370      STCTL    RS       B6       R1,R3,D2(B2)
 2 370      STD      RX       60       R1,D2(X2,B2)
 2 370      STE      RX       70       R1,D2(X2,B2)
 2 370      STH      RX       40       R1,D2(X2,B2)
 2 370      STIDC    S        B203     D2(B2)
 2 370      STIDP    S        B202     D2(B2)
 2 370      STM      RS       90       R1,R3,D2(B2)
 2 370      STNSM    SI       AC       D1(B1),I2
 2 370      STOSM    SI       AD       D1(B1),I2
 2 370      STPT     S        B209     D2(B2)
 2 370      STPX     S        B211     D2(B2)
 2 370      SU       RX       7F       R1,D2(X2,B2)
 2 370      SUR      RR       3F       R1,R2
 2 370      SVC      RR       0A       I1
 2 370      SW       RX       6F       R1,D2(X2,B2)
 2 370      SWR      RR       2F       R1,R2
 2 370      SXR      RR       37       R1,R2
 2 370      TB       RRE      B22C     R1,R2
 2 370      TCH      S        9F00     D2(B2)
 2 370      TIO      S        9D00     D2(B2)
 2 370      TITLE    HLASM
 2 370      TM       SI       91       D1(B1),I2
 2 370      TPROT    SSE      E501     D1(B1),D2(B2)
 2 370      TR       SS       DC       D1(L,B1),D2(B2)
 2 370      TRT      SS       DD       D1(L,B1),D2(B2)
 2 370      TS       SI       93       D1(B1)
 2 370      UNPK     SS       F3       D1(L1,B1),D2(L2,B2)
 2 370      USING    HLASM
 2 370      VA       VST      A420     VR1,VR3,RS2(RT2)
 2 370      VACD     VST      A417     VR1,RS2(RT2)
 2 370      VACDR    VV       A517     VR1,VR2
 2 370      VACE     VST      A407     VR1,RS2(RT2)
 2 370      VACER    VV       A507     VR1,VR2
 2 370      VACRS    S        A6CB     D2(B2)
 2 370      VACSV    S        A6CA     D2(B2)
 2 370      VAD      VST      A410     VR1,VR3,RS2(RT2)
 2 370      VADQ     QV       A590     VR1,QR3,VR2
 2 370      VADR     VV       A510     VR1,VR3,VR2
 2 370      VADS     QST      A490     VR1,QR3,RS2(RT2)
 2 370      VAE      VST      A400     VR1,VR3,RS2(RT2)
 2 370      VAEQ     QV       A580     VR1,QR3,VR2
 2 370      VAER     VV       A500     VR1,VR3,VR2
 2 370      VAES     QST      A480     VR1,QR3,RS2(RT2)
 2 370      VAQ      QV       A5A0     VR1,QR3,VR2
 2 370      VAR      VV       A520     VR1,VR3,VR2
 2 370      VAS      QST      A4A0     VR1,QR3,RS2(RT2)
 2 370      VC       VST      A428     M1,VR3,RS2(RT2)
 2 370      VCD      VST      A418     M1,VR3,RS2(RT2)
 2 370      VCDQ     QV       A598     M1,QR3,VR2
 2 370      VCDR     VV       A518     M1,VR3,VR2
 2 370      VCDS     QST      A498     M1,QR3,RS2(RT2)
 2 370      VCE      VST      A408     M1,VR3,RS2(RT2)
 2 370      VCEQ     QV       A588     M1,QR3,VR2
 2 370      VCER     VV       A508     M1,VR3,VR2
 2 370      VCES     QST      A488     M1,QR3,RS2(RT2)
 2 370      VCOVM    RRE      A643     R1
 2 370      VCQ      QV       A5A8     M1,QR3,VR2
 2 370      VCR      VV       A528     M1,VR3,VR2
 2 370      VCS      QST      A4A8     M1,QR3,RS2(RT2)
 2 370      VCVM     RRE      A641
 2 370      VCZVM    RRE      A642     R1
 2 370      VDD      VST      A413     VR1,VR3,RS2(RT2)
 2 370      VDDQ     QV       A593     VR1,QR3,VR2
 2 370      VDDR     VV       A513     VR1,VR3,VR2
 2 370      VDDS     QST      A493     VR1,QR3,RS2(RT2)
 2 370      VDE      VST      A403     VR1,VR3,RS2(RT2)
 2 370      VDEQ     QV       A583     VR1,QR3,VR2
